Rank,candidate id,score,Reasoning
1,CAND_0081846,0.6494259834289551,Lead AI Engineer| 6.7 yrs| Expert Core AI with 2 skills| Advanced Core AI with 1 skills| Expert in 5 retrival skillls| Advanced in 1 retrival skills
2,CAND_0002025,0.6241093277931213,Senior AI Engineer| 5.9 yrs| Expert Core AI with 3 skills| Expert in 2 retrival skillls| Advanced in 2 retrival skills
3,CAND_0088025,0.61884605884552,Staff Machine Learning Engineer| 8.6 yrs| Expert Core AI with 4 skills| Advanced Core AI with 1 skills| Expert in 3 retrival skillls| Advanced in 1 retrival skills
4,CAND_0077337,0.6094281673431396,Staff Machine Learning Engineer| 7.0 yrs| Expert Core AI with 3 skills| Expert in 2 retrival skillls| Advanced in 2 retrival skills
5,CAND_0046525,0.6069321632385254,Senior Machine Learning Engineer| 6.1 yrs| Expert Core AI with 1 skills| Advanced Core AI with 2 skills| Expert in 1 retrival skillls| Advanced in 1 retrival skills
6,CAND_0086022,0.6049847602844238,Senior Applied Scientist| 5.3 yrs| Expert Core AI with 1 skills| Advanced Core AI with 2 skills| Expert in 1 retrival skillls| Advanced in 2 retrival skills
7,CAND_0071974,0.6037335991859436,Senior AI Engineer| 7.8 yrs| Advanced Core AI with 2 skills| Expert in 5 retrival skillls| Advanced in 1 retrival skills
8,CAND_0008425,0.6032798886299133,Senior NLP Engineer| 7.8 yrs| Expert Core AI with 3 skills| Expert in 3 retrival skillls| Advanced in 1 retrival skills
9,CAND_0018499,0.599891722202301,Senior Machine Learning Engineer| 7.2 yrs| Expert Core AI with 3 skills| Expert in 2 retrival skillls| Advanced in 2 retrival skills
10,CAND_0005260,0.5994543433189392,Senior NLP Engineer| 5.2 yrs| Expert Core AI with 2 skills| Advanced Core AI with 2 skills| Expert in 1 retrival skillls| Advanced in 1 retrival skills
11,CAND_0094759,0.5990743041038513,Lead AI Engineer| 8.6 yrs| Expert Core AI with 1 skills| Advanced Core AI with 1 skills| Expert in 4 retrival skillls| Advanced in 2 retrival skills
12,CAND_0033861,0.5968690514564514,Senior NLP Engineer| 8.0 yrs| Expert Core AI with 1 skills| Advanced Core AI with 1 skills| Expert in 5 retrival skillls| Advanced in 2 retrival skills
13,CAND_0046064,0.596486508846283,Senior NLP Engineer| 8.9 yrs| Advanced Core AI with 1 skills| Expert in 4 retrival skillls| Advanced in 1 retrival skills
14,CAND_0078492,0.5931819081306458,Recommendation Systems Engineer| 5.1 yrs| Expert Core AI with 3 skills| Advanced Core AI with 1 skills| Expert in 4 retrival skillls| Advanced in 1 retrival skills
15,CAND_0055905,0.5920495390892029,Senior Machine Learning Engineer| 8.1 yrs| Advanced Core AI with 2 skills| Expert in 2 retrival skillls| Advanced in 1 retrival skills
16,CAND_0041568,0.5906767845153809,Search Engineer| 5.2 yrs| Expert Core AI with 1 skills| Advanced Core AI with 2 skills| Expert in 5 retrival skillls| Advanced in 1 retrival skills
17,CAND_0060072,0.5899997353553772,Staff Machine Learning Engineer| 5.7 yrs| Expert Core AI with 1 skills| Advanced Core AI with 3 skills| Expert in 2 retrival skillls| Advanced in 1 retrival skills
18,CAND_0078002,0.5890686511993408,Machine Learning Engineer| 6.3 yrs| Expert Core AI with 2 skills| Advanced Core AI with 1 skills| Expert in 1 retrival skillls| Advanced in 1 retrival skills
19,CAND_0050454,0.5889831185340881,AI Engineer| 6.8 yrs| Expert Core AI with 2 skills| Expert in 2 retrival skillls| Advanced in 1 retrival skills
20,CAND_0006567,0.5879466533660889,Senior AI Engineer| 7.9 yrs| Advanced Core AI with 2 skills| Expert in 2 retrival skillls
21,CAND_0098846,0.5877156853675842,AI Engineer| 7.6 yrs| Expert Core AI with 3 skills| Expert in 1 retrival skillls| Advanced in 1 retrival skills
22,CAND_0014063,0.5870958566665649,AI Specialist| 5.4 yrs| Advanced Core AI with 1 skills| Advanced in 3 retrival skills
23,CAND_0058575,0.5860474705696106,AI Engineer| 5.8 yrs| Expert Core AI with 2 skills| Advanced Core AI with 1 skills| Expert in 1 retrival skillls
24,CAND_0042029,0.5856449604034424,Senior Data Scientist| 6.5 yrs| Expert Core AI with 3 skills| Advanced Core AI with 1 skills| Expert in 1 retrival skillls| Advanced in 3 retrival skills
25,CAND_0062247,0.5850851535797119,AI Engineer| 7.3 yrs| Expert Core AI with 2 skills| Advanced Core AI with 1 skills| Expert in 4 retrival skillls| Advanced in 1 retrival skills
26,CAND_0059795,0.5840256214141846,Senior Software Engineer (ML)| 5.6 yrs| Advanced Core AI with 2 skills
27,CAND_0005649,0.58387291431427,Senior Data Scientist| 7.4 yrs| Expert Core AI with 2 skills| Advanced Core AI with 1 skills| Expert in 3 retrival skillls
28,CAND_0015578,0.581098198890686,AI Engineer| 5.4 yrs| Expert Core AI with 2 skills| Advanced Core AI with 1 skills| Expert in 2 retrival skillls| Advanced in 1 retrival skills
29,CAND_0024620,0.5793785452842712,AI Engineer| 5.9 yrs| Advanced Core AI with 1 skills| Expert in 2 retrival skillls| Advanced in 2 retrival skills
30,CAND_0041611,0.5790349245071411,Staff Machine Learning Engineer| 6.4 yrs| Expert Core AI with 1 skills| Advanced Core AI with 1 skills| Expert in 2 retrival skillls| Advanced in 1 retrival skills
31,CAND_0083307,0.5782745480537415,Search Engineer| 7.8 yrs| Expert Core AI with 1 skills| Expert in 3 retrival skillls| Advanced in 2 retrival skills
32,CAND_0065195,0.5777500867843628,Search Engineer| 5.1 yrs| Expert Core AI with 1 skills| Advanced Core AI with 1 skills| Expert in 2 retrival skillls| Advanced in 1 retrival skills
33,CAND_0069905,0.5777250528335571,Applied ML Engineer| 6.6 yrs| Expert Core AI with 1 skills| Advanced Core AI with 1 skills| Expert in 2 retrival skillls
34,CAND_0068351,0.5775833129882812,Lead AI Engineer| 6.4 yrs| Expert Core AI with 2 skills| Advanced Core AI with 1 skills| Expert in 3 retrival skillls
35,CAND_0064326,0.5774745345115662,Search Engineer| 7.6 yrs| Expert Core AI with 2 skills| Expert in 1 retrival skillls| Advanced in 2 retrival skills
36,CAND_0075574,0.5772403478622437,Machine Learning Engineer| 5.7 yrs| Advanced Core AI with 2 skills| Expert in 4 retrival skillls| Advanced in 1 retrival skills
37,CAND_0006418,0.5767045617103577,Machine Learning Engineer| 5.7 yrs| Expert in 4 retrival skillls| Advanced in 1 retrival skills
38,CAND_0043860,0.5756332278251648,Junior ML Engineer| 6.1 yrs| Advanced in 1 retrival skills
39,CAND_0098454,0.5726968050003052,AI Specialist| 6.6 yrs| Advanced in 1 retrival skills
40,CAND_0011687,0.5726205110549927,Senior NLP Engineer| 7.8 yrs| Expert in 1 retrival skillls| Advanced in 2 retrival skills
41,CAND_0041918,0.572455883026123,AI Specialist| 5.7 yrs| Intermediate AI/ML skill exposure
42,CAND_0096104,0.5722919702529907,AI Specialist| 7.0 yrs| Intermediate AI/ML skill exposure
43,CAND_0044222,0.5720816254615784,AI Engineer| 7.7 yrs| Expert Core AI with 2 skills| Advanced Core AI with 1 skills| Advanced in 4 retrival skills
44,CAND_0018722,0.5718416571617126,Recommendation Systems Engineer| 6.6 yrs| Expert Core AI with 1 skills| Advanced Core AI with 2 skills| Expert in 1 retrival skillls
45,CAND_0099806,0.5709409117698669,AI Engineer| 4.6 yrs| Advanced Core AI with 1 skills| Expert in 2 retrival skillls| Advanced in 3 retrival skills
46,CAND_0015967,0.5705918669700623,Senior Software Engineer (ML)| 5.4 yrs| Advanced Core AI with 2 skills
47,CAND_0049978,0.5705360174179077,Senior Software Engineer (ML)| 6.6 yrs| Advanced Core AI with 1 skills
48,CAND_0093193,0.5694179534912109,Senior Machine Learning Engineer| 7.9 yrs| Advanced Core AI with 1 skills| Expert in 1 retrival skillls| Advanced in 1 retrival skills
49,CAND_0053591,0.5693712830543518,AI Engineer| 5.3 yrs| Advanced Core AI with 1 skills| Expert in 1 retrival skillls| Advanced in 1 retrival skills
50,CAND_0074735,0.5692223310470581,Applied ML Engineer| 5.5 yrs| Expert Core AI with 2 skills| Expert in 2 retrival skillls| Advanced in 3 retrival skills
